complaint,incident_date,county,incident_zip,complaint_type,complaint_description,recieved_date,incident_status_desc,incident_closed_date
181327,2023-07-31,Dorchester,21643,Odor,Odors from a holding tank.,2023-07-31,Incident Closed - No further action,2023-07-31
181314,2023-07-27,Charles,,Air,Smoke from burning at a sawmill.,2023-07-27,Under Investigation,
181313,,Baltimore,,Odor,Odor,2023-07-26,Incident Closed - No further action,2023-07-27
181311,2023-07-24,Washington,21740,Fugitive Dust/Particulate Matter,Dust and Air Quality Concerns,2023-07-24,Under Investigation,
181307,,Baltimore,,Odor,Unknown odor,2023-07-26,Incident Closed - No further action,2023-07-27
181304,2023-07-15,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-07-15,Incident Closed-Managed,2023-07-25
181303,2023-07-13,Baltimore City,,Fugitive Dust/Particulate Matter,That a BGE contractor left behind excessive fugitive dust in front of her home.,2023-07-13,Incident Closed-Managed,2023-07-25
181302,2023-07-09,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-07-09,Incident Closed-Managed,2023-07-25
181301,2023-07-07,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-07-07,Incident Closed-Managed,2023-07-25
181300,2023-07-06,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-07-06,Incident Closed-Managed,2023-07-25
181297,2023-06-26,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-06-26,Incident Closed-Managed,2023-07-25
181296,2023-06-24,Baltimore City,,Air,He wants someone to test indoor air quality.,2023-06-24,Incident Closed - No further action,2023-07-25
181295,2023-06-22,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-06-22,Incident Closed-Managed,2023-07-25
181294,2023-06-16,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-06-16,Incident Closed-Managed,2023-07-25
181293,2023-06-12,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-07-12,Incident Closed-Managed,2023-07-25
181292,2023-06-06,Baltimore City,,Fugitive Dust/Particulate Matter,"Power washed her home, now concerned about silica dust that was created.",2023-06-06,Incident Closed - No further action,2023-07-25
181291,2023-06-05,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-06-05,Incident Closed-Managed,2023-07-25
181290,2023-06-02,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-06-02,Incident Closed-Managed,2023-07-25
181289,,Harford,,Smoke,Smoke from neighbor burning,2023-07-24,Incident Closed-Managed,2023-07-31
181284,2022-11-30,Montgomery,20879,Air,Severe overspray coming from exhaust of Airpark Auto Center vehicle paint spray booth.,2023-07-17,Under Investigation,
181283,2023-07-14,Montgomery,,"Air, Fugitive Dust/Particulate Matter, Odor",Air quality concerns regarding Purple Line construction.,2023-07-14,Referred to Outside Agency,
181278,2023-07-10,Allegany,21501,"Odor, Open Burning, Smoke",Burning on Pavement,2023-07-11,Incident Closed-Managed,2023-07-21
171278,2023-07-20,Frederick,,Air,Dust from Grable's Commercial sandblasting & spray painting.,2023-07-20,Under Investigation,
171263,2023-06-28,Garrett,21550,"Odor, Open Burning, Smoke",Burning Plastics,2023-07-06,Incident Closed - No further action,2024-01-31
171261,2023-06-16,Garrett,21531,"Odor, Open Burning, Smoke",BurningTires,2023-07-06,Incident Closed - No further action,2024-01-31
171257,2023-07-17,Frederick,21757,Air,Dust from sandblasting and overspray of commercial vehicles and parts.,2023-07-17,Under Investigation,
171251,2023-07-13,Prince George's,,Air,Formaldehyde type of odor in new apartment.  Would like indoor air test.  The County was not provided in original message.,2023-07-13,Incident Closed-No Violation Observed,2023-07-13
171247,2023-07-03,Wicomico,21804,Open Burning,Smoke and odor from open burning,2023-07-03,Incident Closed-No Violation Observed,2023-07-06
171235,2023-07-06,Howard,,Other,concern of odor from American Paving Fabrics,2023-07-06,Incident Closed-Managed,2023-07-10
171234,2023-07-06,Anne Arundel,21054,Air,Smoke from neighbor's firepit smoldering.,2023-07-10,Incident Closed-Managed,2023-07-17
171233,2023-07-05,Anne Arundel,21122,Air,Smoke from burning furniture in their yard.,2023-07-10,Incident Closed-Managed,2023-07-17
171232,2023-07-03,Anne Arundel,21401,Air,Odor from dumpster at building construction site.,2023-07-10,Incident Closed-Clean-up Completed,2023-07-14
171231,2023-07-06,Frederick,21770,Air,Spray painting without a spray booth.  FY23-275851-3714-CV,2023-07-10,Incident Closed-No Violation Observed,2023-07-14
171223,2023-07-05,Prince George's,,Other,Concern of Freon/Ac,2023-07-05,Incident Closed-Managed,2023-07-07
171218,2023-06-29,Howard,,Other,Inquiry of air quality forecast,2023-06-29,Incident Closed-Managed,2023-07-05
171217,2023-06-28,Prince George's,,Other,concern of Freon /AC,2023-06-28,Incident Closed-Managed,2023-07-05
171212,2023-06-29,Anne Arundel,,Air,Haze and air quality index high. Canadian wildfires.,2023-06-30,Incident Closed - No further action,2023-06-30
171211,,Harford,,Smoke,Concern over the fire department's house burn for training.,2023-06-29,Incident Closed - No further action,2023-06-30
171210,2023-06-29,Carroll,21158,"Air, Odor",Severe odors occurring from liquid manure/ sludge application at agricultural field in Westminster.,2023-06-29,Referred to Outside Agency,
171206,,Baltimore,,Odor,Indoor air of complainant's apartment has odors.,2023-06-27,Incident Not Applicable to MDE,
171205,2023-06-28,Statewide,,Air,Concerned with general poor ambient air quality in Maryland and would like to know what actions are being taken to improve air quality.,2023-06-28,Incident Closed-Managed,2023-06-29
171195,2023-06-28,Baltimore,,Air,"Concerns regarding unknown indoor environmental factors inside home causing sores and ""electric"" feeling.",2023-06-28,Incident Closed - No further action,2023-06-28
171188,,Harford,,Fumes,Fumes from racetrack,2023-06-26,Incident Closed-Managed,2023-06-29
171187,2023-06-27,Charles,,Air,100% opacity of black smoke from crematory stack.  Video submitted.,2023-06-27,Under Investigation,
171180,2023-06-26,Not Yet Determined,,Other,Automobile shop operating without machine.,2023-06-26,Incident Closed-Managed,2023-07-07
171155,2023-06-23,Frederick,,Air,Dust from sandblasting of commercial vehicles.,2023-06-23,Under Investigation,
161146,,Baltimore,,Fugitive Dust/Particulate Matter,Dust and straw from county stabilization project.,2023-06-21,Incident Closed - No further action,2023-06-21
161144,2023-06-20,Frederick,,Air,Dust from sandblasting vehicles.,2023-06-21,Under Investigation,
161143,2023-06-19,Frederick,,Air,Dust from sand blasting.  Video submitted,2023-06-21,Under Investigation,
161141,2023-06-15,Washington,21782,Odor,Odors from WWTP,2023-06-20,Referred to WMA,
161135,2023-05-22,Cecil,21904,"Air, Fugitive Dust/Particulate Matter",Complainant believes that York Building Products Principio Quarry is responsible for sand and dust concerns at Chesapeake House Travel Plaza.,2023-06-06,Incident Closed-Managed,2023-06-15
161134,2023-06-13,Anne Arundel,20794,Air,"Degreaser overspray and oil dumped onto land from the Fleet Maintenance Brothers business.  Business is a junkyard for vehicles & vehicle & tractor trailer repairs. 
 Complainant lives next door.  Complainant would like to know if degreasers are more hazardous than  ETO's as discussed in their community meeting.",2023-06-15,Incident Closed-Managed,2023-06-16
161132,2023-06-12,Cecil,21921,Open Burning,Neighboring property is an illegal salvage yard. Consistent open burning of materials is occurring at this site. Cecil County government is not addressing the concerns.,2023-06-12,Referred to Outside Agency,
161130,,Baltimore,,Fugitive Dust/Particulate Matter,Dust from Chesapeake Monuments,2023-06-14,Incident Closed-No Violation Observed,2023-06-23
161125,,Baltimore,,Fugitive Dust/Particulate Matter,Dust from company making monuments.,2023-06-14,Incident Closed-No Violation Observed,2023-06-23
161116,2023-06-05,Carroll,21771,Open Burning,"Neighbors are open burning in a fire pit, also have outside grill.",2023-06-05,Referred to Outside Agency,
161115,2023-06-12,Frederick,,Air,Dust from sandblasting at Grable's Commercial Sandblasting & Spray painting business crossing property line  to neighbor's house and vehicle.,2023-06-12,Under Investigation,
161112,2023-06-07,Howard,,Other,Concern of fumes from a commercial building painting cars,2023-06-07,Incident Closed-Managed,2023-08-07
161111,2023-06-06,Howard,,Other,concern of sticky substance falling from the sky.,2023-06-06,Incident Closed-Managed,2023-06-12
161106,2023-06-02,Allegany,,Fugitive Dust/Particulate Matter,Dust on Road,2023-06-02,Incident Closed - No further action,2024-01-31
161105,,Harford,,Odor,Neighboring farm is spreading manure.,2023-06-09,Referred to Outside Agency,
161104,,Harford,,Air,Employees standing outside in bad air quality.,2023-06-08,Incident Closed-Managed,2023-06-09
161102,2023-06-06,Wicomico,21801,Open Burning,"Open burning of trees, building materials/refuse.",2023-06-06,Incident Closed-No Violation Observed,2023-06-06
161102,2023-06-06,Wicomico,21822,Open Burning,"Open burning of trees, building materials/refuse.",2023-06-06,Incident Closed-No Violation Observed,2023-06-06
161101,2023-06-07,Dorchester,21664,Fugitive Dust/Particulate Matter,Paint chips on property from prepping water tower to be painted.,2023-06-07,Incident Closed-Managed,2023-06-08
161093,2023-06-07,Frederick,,Air,Dust from sand blasting and overspray from spray painting.  Dust crosses property line.,2023-06-08,Under Investigation,
161092,2023-06-05,Frederick,,Air,Sticky substance on her car windshield.,2023-06-08,Incident Closed - No further action,2023-06-08
161089,2023-05-10,Washington,21740,Fugitive Dust/Particulate Matter,Dust At Concrete Plant,2023-05-19,Under Investigation,
161086,2023-05-17,Allegany,21539,Non-Tidal Wetlands/Waterway,Garbage in Stream,2023-05-17,Incident Closed - No further action,2023-06-08
161081,2023-06-01,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-06-01,Incident Closed-Managed,2023-06-07
161080,2023-05-31,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-05-31,Incident Closed-Managed,2023-06-07
161079,2023-05-29,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-05-29,Incident Closed-Managed,2023-06-07
161078,2023-05-28,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-05-28,Incident Closed-Managed,2023-06-07
161077,2023-05-27,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-05-27,Incident Closed-Managed,2023-06-07
161076,2023-05-24,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-05-24,Incident Closed-Managed,2023-06-07
161075,2023-05-19,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-05-19,Incident Closed-Managed,2023-06-07
161074,2023-05-18,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-05-18,Incident Closed-Managed,2023-06-07
161073,2023-05-17,Baltimore City,,Fugitive Dust/Particulate Matter,Dust created by power washing.,2023-05-17,Incident Closed-Managed,2023-06-07
161072,2023-05-16,Baltimore City,,Fugitive Dust/Particulate Matter,Street covered in white substance.,2023-05-16,Incident Closed-Managed,2023-06-07
161071,2023-05-10,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-05-10,Incident Closed-Managed,2023-06-07
161070,2023-05-09,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-05-09,Incident Closed-Managed,2023-06-07
161069,2022-06-02,Calvert,,Illegal Dumping,Company is running illegal landfill.,2022-06-02,Incident Closed-Managed,2023-06-07
161065,2023-05-08,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-05-08,Incident Closed-Managed,2023-06-06
161064,2023-06-05,Howard,,Other,Concern of odor and emission from asphalt,2023-06-05,Incident Closed-Managed,2023-06-06
161063,2023-06-01,Prince George's,,Other,Construction dust affecting apartment resident,2023-06-01,Incident Closed-Managed,2023-06-06
161062,2023-05-07,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-05-07,Incident Closed-Managed,2023-06-06
161061,2023-06-01,Howard,21075,Other,Concern of odor from asphalt plant,2023-06-01,Incident Closed-Managed,2023-06-06
161060,2023-05-06,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-05-06,Incident Closed-Managed,2023-06-06
161059,2023-05-31,Howard,21075,Other,concern of odor and emission from asphalt plant,2023-05-31,Incident Closed-Managed,2023-06-06
161058,2023-05-23,Howard,21075,Other,concern of odor and emissions from asphalt plant,2023-05-23,Incident Closed-Managed,2023-06-06
161057,2023-05-05,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-05-05,Incident Closed-Managed,2023-06-06
161055,2023-06-03,Anne Arundel,,Air,Dust from sandblasting vehicles and vehicle parts.  Overspray from spray painting.,2023-06-06,Under Investigation,
161054,2023-06-02,Anne Arundel,,Air,Dust from demolition of building,2023-06-06,Incident Closed-No Violation Observed,2023-10-27
161042,2023-06-02,Frederick,,Air,Dust from sand blasting vehicles and overspray from spray painting,2023-06-02,Under Investigation,
161041,2023-05-31,Frederick,,Air,Dust from sand blasting vehicles and overspray from spray painting.,2023-06-02,Under Investigation,
161040,2023-05-26,Frederick,,Air,Dust from sand blasting vehicles & overspray from spray painting.,2023-06-02,Under Investigation,
161035,2023-06-01,Anne Arundel,,Air,Smoke from burning leaves at her neighbor's house.,2023-06-02,Under Investigation,
161034,2023-05-31,Anne Arundel,,Air,Inquiry about open burning and fire pits.,2023-06-02,Incident Closed - No further action,2023-06-02
161033,2023-05-31,Anne Arundel,21113,Air,Complainant detected a chemical odor in the air near her residence.,2023-06-02,Incident Closed-No Violation Observed,2023-06-02
161032,2023-05-30,Anne Arundel,,Air,Dust from neighbor cutting stones for a patio or sidewalk.,2023-06-02,Incident Closed - No further action,2023-06-02
161031,2023-05-26,Anne Arundel,21113,Air,Dust from constructing baseball fields at GORC park which is located adjacent to the Complainant's house.  Trees in between properties.,2023-06-02,Incident Closed-No Violation Observed,2023-06-12
161030,,St. Mary's,,Other,Question re open burning,2023-06-01,Incident Closed - No further action,2023-06-02
161027,2023-05-31,Montgomery,20912,"Air, Fugitive Dust/Particulate Matter",Neighbor is having siding installed. Construction company is cutting PVC components without dust suppression. Causing fugitive dust issues.,2023-05-31,Referred to Outside Agency,
161012,2023-05-25,Montgomery,20853,"Air, Fumes, Odor",Concerned with fumes from roof tarring and other construction activity and the health effects on students.,2023-05-25,Incident Closed-Managed,2023-09-21
161012,2023-05-25,Montgomery,20837,"Air, Fumes, Odor",Concerned with fumes from roof tarring and other construction activity and the health effects on students.,2023-05-25,Incident Closed-Managed,2023-09-21
161008,,Baltimore,,Other,Requested info for Balto co burn permit,2023-05-25,Incident Closed - No further action,2023-05-26
161002,2023-05-24,Frederick,,Air,Dust from sandblasting vehicles and vehicle parts.  No dust control measures.  Dust exits concrete building to outside and crosses property.,2023-05-24,Under Investigation,
161000,2023-05-23,Wicomico,21801,"Fumes, Odor, Smoke","Smoke, odors and fumes from restaurant outdoor smokers.",2023-05-23,Incident Closed-Managed,2023-05-24
160992,2023-05-13,Baltimore,21222,Odor,Horrendous odor in area around facility.,2023-05-22,Incident Closed - No further action,2023-05-22
160990,2023-05-19,Montgomery,20837,"Air, Fumes, Odor","Concerned that seals in place throughout inside of school are not properly installed, leading to infiltration of roof tar odors inside Poolesville High School.",2023-05-19,Incident Closed-Managed,2023-09-21
160989,2023-05-19,Montgomery,20853,"Air, Fumes, Odor",Health concerns regarding roofing tar used at Poolesville High School and Parkland Middle School.,2023-05-19,Incident Closed-Managed,2023-09-21
160989,2023-05-19,Montgomery,20837,"Air, Fumes, Odor",Health concerns regarding roofing tar used at Poolesville High School and Parkland Middle School.,2023-05-19,Incident Closed-Managed,2023-09-21
160986,,Baltimore,,Fumes,Airplane is spraying chemicals on neighboring farm.,2023-05-18,Referred to Outside Agency,
160982,2023-05-18,Frederick,,Air,Dust from land excavation.  Construction site for a new building.  Dust blowing onto to residence property.,2023-05-19,Incident Closed - No further action,2023-11-17
160982,2023-05-18,Frederick,,Air,Dust from land excavation.  Construction site for a new building.  Dust blowing onto to residence property.,2023-05-19,Incident Closed - No further action,2023-11-17
160981,2023-05-17,Anne Arundel,,Air,Burning green wood in backyard firepit and creating smoke.,2023-05-19,Incident Closed - No further action,2023-05-19
150983,2023-05-16,Montgomery,20853,"Air, Fumes, Odor",Health concerns related to construction activity at Poolesville High School and Parkland Magnet Middle School.,2023-05-16,Incident Closed-Managed,2023-09-21
150983,2023-05-16,Montgomery,20837,"Air, Fumes, Odor",Health concerns related to construction activity at Poolesville High School and Parkland Magnet Middle School.,2023-05-16,Incident Closed-Managed,2023-09-21
150982,2023-05-16,Montgomery,20853,"Air, Fumes, Odor",Health concerns related to roofing tar exposure at Parkland Magnet Middle School.,2023-05-16,Incident Closed-Managed,2023-09-21
150981,2023-05-09,Montgomery,20879,Air,Automotive business painting cars in tent behind building. EPA referral.,2023-05-09,Incident Closed-Managed,2023-05-18
150978,2023-05-04,Dorchester,21835,Odor,Odor Complaint,2023-05-04,Incident Closed - No further action,2023-05-04
150977,,Baltimore,,Fumes,Fumes from the generator next door.,2023-05-16,Incident Closed-Managed,2023-05-17
150965,2023-05-15,Montgomery,20837,"Air, Fumes, Odor","Continued concerns regarding construction activity at Poolesville High School. Concerns include roof tarring, fireproofing, and acoustic foam installation.",2023-05-15,Incident Closed-Managed,2023-09-21
150964,,Baltimore,,Fumes,Apt building next door's generator is creating fumes.,2023-05-15,Incident Closed-Managed,2023-05-17
150963,,Baltimore,,Odor,Neighbor's dog and cat feces,2023-05-15,Referred to Outside Agency,
150958,2023-05-12,Frederick,,Air,Neighbor's van leaks motor oil on the parking lot in their townhouse neighborhood.,2023-05-15,Incident Closed - No further action,2023-05-15
150957,2023-05-09,Frederick,,Air,Dust from sand blasting and spray painting,2023-05-15,Under Investigation,
150956,2023-05-08,Anne Arundel,,Air,Smoke from burning leaves at neighbor's yard.,2023-05-15,Incident Closed-No Violation Observed,2023-05-15
150951,2023-03-09,Harford,,Smoke,Smoke observed at Aberdeen Proving Ground.,2023-05-12,Incident Closed - No further action,2023-05-12
150950,2023-03-09,Harford,,Smoke,Smoke observed at Aberdeen Proving Ground.,2023-05-12,Incident Closed - No further action,2023-05-12
150949,2023-03-09,Harford,,Smoke,Smoke observed at Aberdeen Proving Ground.,2023-05-12,Incident Closed - No further action,2023-05-12
150947,2023-05-11,Montgomery,20837,"Air, Fumes, Odor",Poolesville High School construction project concerns. Including roof tar and indoor air quality.,2023-05-11,Incident Closed-Managed,2023-09-21
150946,2023-05-11,Charles,20601,Air,Battery acid or sulfates being sprayed in the air system at Walmart.,2023-05-12,Incident Closed-No Violation Observed,2023-06-14
150945,2023-05-07,Montgomery,20837,"Air, Fumes, Odor",Poolesville High School parent concerned with roof tarring and application of fireproofing material at the school.,2023-05-07,Incident Closed-Managed,2023-09-21
150941,2023-04-07,Howard,20723,Odor,Odor Complaint,2023-04-07,Incident Closed - No further action,2023-04-07
150938,2023-04-20,Carroll,21776-811,"Air, Other","Wolff Tree & Landscape, LLC may have tub grinders on-site used for wood processing.",2023-04-20,Referred to Outside Agency,
150932,2023-05-08,Prince George's,,Other,Bus Idling at elementary school,2023-05-08,Incident Closed-Managed,2023-05-10
150931,2023-05-03,Prince George's,,Other,Indoor air quality,2023-05-03,Incident Closed-Managed,2023-06-14
150930,2023-04-20,Baltimore City,,Fugitive Dust/Particulate Matter,A business is sand blasting containers and painting them outside.,2023-04-20,Incident Closed-Managed,2023-05-09
150929,2023-04-26,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-04-26,Incident Closed-Managed,2023-05-09
150928,2023-04-23,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-04-23,Incident Closed-Managed,2023-05-09
150927,2023-04-22,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-04-22,Incident Closed-Managed,2023-05-09
150926,2023-04-21,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-04-21,Incident Closed-Managed,2023-05-09
150925,2023-05-09,Frederick,,Air,Video submitted via cell phone of dust created from the facility.,2023-05-09,Under Investigation,
150916,2023-05-04,Anne Arundel,,Air,Seafood odor from storage of fish & shellfish at the homeowner's house.,2023-05-08,Incident Closed-No Violation Observed,2023-05-08
150915,2023-05-04,Anne Arundel,,Air,Odor from smoke,2023-05-08,Incident Closed - No further action,2023-05-19
150914,2023-05-03,Anne Arundel,,Air,Odor from dirty radiator coils inside apartment.,2023-05-08,Incident Closed - No further action,2023-05-19
150902,2023-05-03,Somerset,21853,Open Burning,Fire being fed by backhoe.,2023-05-03,Incident Closed-No Violation Observed,2023-05-03
150896,,Baltimore,21093,Odor,Odor,2023-05-02,Incident Closed-No Violation Observed,2023-05-08
150894,2023-05-01,Cecil,,"Air, Other",Concerns regarding indoor air quality after replacing HVAC in home.,2023-05-01,Incident Closed - No further action,2023-05-02
150891,2023-04-28,Cecil,21901,Other,Noise and vibrations being created by neighbors. Cecil County Sheriff referral to MDE.,2023-04-28,Referred to Outside Agency,
150887,2023-04-28,Anne Arundel,,Air,Cat urine odor from townhouse,2023-05-01,Incident Closed - No further action,2023-05-05
150886,2023-04-26,Anne Arundel,,Air,Smoke from burning trash,2023-05-01,Under Investigation,
150867,,Baltimore,,Other,Laundry company is emitting lint from its dryer vents.,2023-04-27,Incident Closed-Managed,2023-04-27
150864,2023-04-20,Montgomery,20852,"Air, Fugitive Dust/Particulate Matter",DPS Automotive is creating dust from work being performed. Concerned that facility is not permitted and painting vehicle parts.,2023-04-20,Incident Closed-Managed,2023-04-27
150854,2023-04-19,Worcester,21851,"Open Burning, Smoke",Smoke from open burning at nights and on weekends.,2023-04-19,Incident Closed-No Violation Observed,2023-05-02
150854,2023-04-19,Worcester,21851,"Open Burning, Smoke",Smoke from open burning at nights and on weekends.,2023-04-19,Incident Closed-No Violation Observed,2023-05-02
150854,2023-04-19,Worcester,21851,"Open Burning, Smoke",Smoke from open burning at nights and on weekends.,2023-04-19,Incident Closed-No Violation Observed,2023-05-02
150854,2023-04-19,Worcester,21851,"Open Burning, Smoke",Smoke from open burning at nights and on weekends.,2023-04-19,Incident Closed-No Violation Observed,2023-05-02
150854,2023-04-19,Worcester,21851,"Open Burning, Smoke",Smoke from open burning at nights and on weekends.,2023-04-19,Incident Closed-No Violation Observed,2023-05-02
150848,,Harford,,Open Burning,Burning,2023-04-23,Incident Closed-Managed,2023-04-28
150843,2023-04-16,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-04-16,Incident Closed-Managed,2023-04-21
150842,2023-04-03,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-04-03,Incident Closed-Managed,2023-04-21
150841,2023-03-29,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-03-29,Incident Closed-Managed,2023-04-21
150840,2023-03-27,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-03-27,Incident Closed-Managed,2023-04-21
150839,2023-03-26,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-03-26,Incident Closed-Managed,2023-04-21
150837,2023-03-25,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2023-03-25,Incident Closed-Managed,2023-04-21
140835,,Baltimore,,Fugitive Dust/Particulate Matter,No dust suppression,2023-04-19,Incident Closed - No further action,2023-04-24
140834,2023-04-20,Anne Arundel,,Air,Smoke from burning hazardous waste at the marina.  Complainant stated she spoke to someone last week and they were going to send someone out.,2023-04-20,Under Investigation,
140830,2023-03-08,Prince George's,,Other,Concern of dust from Sudbury Marble and Granite,2023-03-08,Incident Closed-Managed,2023-04-19
140829,2023-03-08,Prince George's,20740,Other,Concern of dust and water pollution from Sudbury Marble and Granite,2023-03-08,Incident Closed-Managed,2023-04-19
140827,2023-04-12,Prince George's,,Other,Concern of burning tires in the Cheverly area,2023-04-12,Incident Closed-Managed,2023-04-19
140826,2023-04-19,Frederick,,Air,Dust from sand blasting & spray painting commercial vehicles.  Picture received.,2023-04-19,Under Investigation,
140816,2023-04-17,Frederick,,Air,Picture & video of dust from sand blasting and going onto next property.,2023-04-17,Under Investigation,
140809,,Baltimore,,Odor,Metallic odor detected in the middle of the night.,2023-04-14,Incident Closed - No further action,2023-04-14
140797,2023-04-09,Prince George's,,Other,Concern of Loud boom noise,2023-04-09,Incident Closed-Managed,2023-04-12
140796,2023-04-09,Prince George's,,Other,Concern of loud boom noise in Cheverly area,2023-04-09,Incident Closed-Managed,2023-04-12
140795,2023-04-10,Prince George's,,Other,Concern of awful smell in Cheverly area,2023-04-10,Incident Closed-Managed,2023-04-12
140792,2023-04-04,Prince George's,,Other,Concern of mold in school,2023-04-12,Incident Closed-Managed,2023-04-12
140791,2023-04-04,Prince George's,,Other,Odor concern in Cheverly area,2023-04-04,Incident Closed-Managed,2023-04-12
140782,2023-04-10,Montgomery,20837,"Air, Fumes, Odor",Concerns related to odors and other issues related to roofing project at Poolesville High School.,2023-04-10,Referred to Outside Agency,
140781,2023-03-30,Montgomery,20837,"Air, Fumes, Odor",Severe roofing tar odors infiltrating Poolesville High School due to continued roof construction.,2023-03-30,Referred to Outside Agency,
140780,2023-03-30,Montgomery,20847,"Air, Fumes, Other",Office building across from condominium complex has approval from Montgomery County to be retrofitted to become life science labs. Concerned with potential chemical exhaust from labs.,2023-03-30,Referred to Outside Agency,
140778,2023-04-10,Frederick,21757,Air,Odor from spray that was applied to millings in a parking lot.,2023-04-10,Incident Closed - No further action,2023-04-10
140777,2023-03-31,Cecil,21919,"Fumes, Open Burning, Smoke","Neighbor is continuously burning trash, plastics, chemicals, etc.",2023-03-31,Referred to Outside Agency,
140776,2023-03-31,Cecil,21921,"Open Burning, Smoke",Complaint received via email from the Cecil County Health Department. Illegal scrapyard is constantly open burning waste materials.,2023-03-31,Referred to Outside Agency,
140775,2023-04-05,Cecil,,Fugitive Dust/Particulate Matter,Water main on the street was replaced. Replacement caused dust. Also there are storm water runoff concerns.,2023-04-05,Incident Closed - No further action,2023-04-07
140774,2023-04-05,Cecil,21919,"Open Burning, Smoke",Neighbors are continuously open burning causing nuisance smoke.,2023-04-05,Referred to Outside Agency,
140773,,St. Mary's,,Smoke,Neighbor burning and creating smoke,2023-04-05,Incident Closed-Managed,2023-04-07
140772,,St. Mary's,,Smoke,Neighbor is burning and creating smoke.,2023-04-03,Incident Closed-Managed,2023-04-07
140771,2023-04-06,Montgomery,,"Air, Odor, Smoke",Neighbor is creating smoke and odor inside their home. The smoke and odor is infiltrating the complainant's townhome.,2023-04-06,Referred to Outside Agency,
140769,2023-04-05,Wicomico,21849,Smoke,"Black smoke, can't walk outside.",2023-04-05,Incident Closed - No further action,2023-04-06
140768,2023-04-05,Garrett,21536,"Fumes, Smoke",Smoke and Odors from Burning Construction Scraps,2023-04-05,Incident Closed-Managed,2023-05-26
140767,2023-03-21,Allegany,21501,Asbestos Complaint,Possible Asbestos,2023-03-21,Referred to ARA,
140766,2023-03-17,Allegany,,Other,Possible Endangered Species,2023-03-17,Incident Closed - No further action,2023-04-06
140765,2023-03-10,Allegany,,Asbestos Complaint,Possible Asbestos in Home,2023-03-10,Referred to ARA,
140764,2023-03-09,Not Yet Determined,,Non-Tidal Wetlands/Waterway,Soil Erosion,2023-03-09,Incident Closed - No further action,2023-04-06
140761,2023-03-30,Baltimore City,21231,Odor,"Caller said that their tenant complained of a strong ""alcohol"" odor near H&S Bakery in Baltimore City on the night of March 30, 2023.",2023-04-05,Incident Closed - No further action,2023-04-07
140760,2023-04-05,Anne Arundel,,Air,Indoor air.  Mold in basement.,2023-04-05,Incident Closed-No Violation Observed,2023-04-05
140757,2023-03-24,Dorchester,21835,Odor,Odor Complaint,2023-03-24,Incident Closed - No further action,2023-03-24
140756,2023-04-03,Baltimore City,21224,Odor,Odor Complaint,2023-04-03,Incident Closed - No further action,2023-04-03
140752,2023-04-03,Frederick,,Air,"3/29/2023 picture of dust.  4/3/2023 Video shows dust exiting building through a window fan.  Site inspection 4/3/2023, no activity at the time of the site inspection.",2023-04-04,Incident Closed-Managed,2023-06-21
140751,2023-04-02,Anne Arundel,,Air,Smoke from neighbor's fire pit,2023-04-04,Incident Closed-No Violation Observed,2023-04-04
